# Makam (central bank bills) yields to maturity, 1-12 months.
# Snapshot of makam.xlsx [SECDWH] as of 2026-07-30.
# Replace with a live pull once the endpoint is wired - see README.
# The DATE column is what carries that date into curve.json. Without it the
# short end inherits the long end's date and the page misreports the nominal
# leg as a fortnight fresher than it is.
DATE,TENOR,YIELD
2026-07-30,1M,3.72
2026-07-30,2M,3.26
2026-07-30,3M,3.23
2026-07-30,4M,3.3
2026-07-30,5M,3.28
2026-07-30,6M,3.29
2026-07-30,7M,3.28
2026-07-30,8M,3.27
2026-07-30,9M,3.27
2026-07-30,10M,3.3
2026-07-30,11M,3.28
2026-07-30,12M,3.28
